# Version=2.2
# Application=/home/ts1710/op2/airfoil/airfoil_opencl
# ApplicationArgs=
Method , ExecutionOrder , GlobalWorkSize , GroupWorkSize , Time , LocalMemSize , DataTransferSize , GPRs , ScratchRegs , FCStacks , Wavefronts , ALUInsts , FetchInsts , WriteInsts , LDSFetchInsts , LDSWriteInsts , ALUBusy , ALUFetchRatio , ALUPacking , FetchSize , CacheHit , FetchUnitBusy , FetchUnitStalled , WriteUnitStalled , FastPath , CompletePath , PathUtilization , LDSBankConflict
CreateBuffer ,     1 , , , NA , ,         0.04 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,     2 , , , NA , ,        10.94 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,     3 , , , NA , ,      5639.07 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,     4 , , , NA , ,     11250.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,     5 , , , NA , ,     11250.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,     6 , , , NA , ,      2812.50 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,     7 , , , NA , ,     11250.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
op_cuda_save_soln__k1_Cayman1 ,     8 , {  51200       1       1} , {  256     1     1} ,         0.26800 ,        4096 , ,     9 ,     0 ,     3 ,       800.00 ,       317.38 ,        56.25 ,        56.25 ,        28.12 ,        56.25 ,         0.40 ,         5.64 ,        43.67 ,      5625.00 ,         0.00 ,         0.28 ,         0.00 ,         0.01 ,     11594.75 ,         0.00 ,       100.00 ,         0.00
ReadBuffer ,     9 , , ,        18.06699 , ,     11250.00 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    10 , , , NA , ,      5651.37 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    11 , , , NA , ,      1406.25 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    12 , , , NA , ,      1406.25 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    13 , , , NA , ,      1406.25 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    14 , , , NA , ,      1406.25 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    15 , , , NA , ,        10.99 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    16 , , , NA , ,        10.99 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    17 , , , NA , ,        10.99 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    18 , , , NA , ,      2812.50 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    19 , , , NA , ,        10.99 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    20 , , , NA , ,        10.99 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    21 , , , NA , ,        10.99 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
op_cuda_adt_calc__k2_Cayman1 ,    22 , { 720128       1       1} , {  256     1     1} ,         0.53622 ,        4256 , ,     9 ,     0 ,     3 ,     11252.00 ,       171.47 ,        17.75 ,         1.00 ,        19.75 ,         4.75 ,         1.99 ,         9.66 ,        43.91 ,     20021.69 ,         0.00 ,         0.77 ,         0.00 ,         0.00 ,      2839.38 ,         0.00 ,       100.00 ,         0.05
CreateBuffer ,    23 , , , NA , ,      5646.93 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    24 , , , NA , ,      5643.82 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
CreateBuffer ,    25 , , , NA , ,      5643.82 , , ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
